@RELATION music_speech
@ATTRIBUTE SC_MEAN NUMERIC
@ATTRIBUTE SRO_MEAN NUMERIC
@ATTRIBUTE SFM_MEAN NUMERIC
@ATTRIBUTE PARFFT_MEAN NUMERIC
@ATTRIBUTE FLUX_MEAN NUMERIC
@ATTRIBUTE SC_STD NUMERIC
@ATTRIBUTE SRO_STD NUMERIC
@ATTRIBUTE SFM_STD NUMERIC
@ATTRIBUTE PARFFT_STD NUMERIC
@ATTRIBUTE FLUX_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
128.656296253,239.404651163,0.329993459312,9.16471155954,65.6457346642,13.2065250782,27.9571207123,0.0878280568414,1.74858824112,45.773578775,music
35.9206249176,63.3620155039,0.0704695956581,14.0307884383,9.25357574914,5.6403779032,12.9617785996,0.017257753748,2.97172702572,11.3008290442,music
73.1293252396,131.306976744,0.18249378597,8.5312574367,59.1109995495,14.1311009221,30.6007604558,0.0646984787972,1.61034663948,32.9669875147,music
53.4383192841,107.152713178,0.157699201863,15.0201958835,44.7788178484,33.8122813475,82.8230153549,0.0901982964265,2.42572472181,49.396353441,music
95.6111584038,197.720155039,0.329049293423,11.3555462209,65.6256641098,35.0806481594,77.2880446242,0.135042204802,2.95144199958,53.194236944,music
102.538566719,180.851937984,0.314581763966,10.5100411913,49.8182169708,16.085315688,40.5585300117,0.103374139865,2.64499610247,35.8990744291,music
106.089501552,213.786821705,0.353036340599,9.73227005954,157.355479965,33.2785811765,72.3113765266,0.114736165692,2.43555635568,140.566598254,music
82.3612296691,175.502325581,0.299725101375,13.4682715632,22.4584326017,32.2914072326,74.902937156,0.124533303906,3.2491237059,18.0580525304,music
86.3793981878,197.724806202,0.289009312059,12.6163065525,88.1247373471,28.741038002,76.3039683516,0.121842308355,2.31031773061,123.087717866,music
45.9977342488,80.2434108527,0.0798251715852,12.1328141394,49.8144472667,7.492071509,17.2007654641,0.0205701476688,2.65466442822,32.2058867217,music
88.2587266891,160.336434109,0.239094685577,11.6211826926,130.159295492,22.6487244355,48.0535068988,0.0897205968776,2.91881116235,120.14633926,music
41.4100219662,87.6744186047,0.086465660899,11.4184190766,48.7713839637,11.2208434364,31.8067231913,0.0242560413125,2.29985685491,30.3413385672,music
101.167206444,210.775193798,0.335107371748,10.6491044528,168.094926221,38.0439280015,75.2370661897,0.135723339119,2.52110144072,186.835872255,music
51.5997985394,102.651937984,0.149842749873,13.0143616796,21.2743365909,10.1432395583,24.2129877403,0.0307826401755,2.37506705657,12.8914114699,music
50.228331044,86.6573643411,0.133102671656,11.6026839326,24.9085948609,19.4845917292,46.2466806271,0.0534320005215,2.55939638551,20.5520617262,music
57.9062995921,112.520155039,0.193639072699,13.4476028615,26.5133944188,22.7413305025,59.7333349077,0.0979140248873,3.17996250742,28.9200994184,music
47.7677025362,86.5178294574,0.114114218309,12.33075801,27.771326891,24.210680137,49.3155485169,0.0566814849937,2.89376280897,31.8752975028,music
78.4595236553,143.93255814,0.211189477014,12.4535846997,68.215568636,17.5533739608,25.3757060857,0.0632597716437,2.78335583757,49.2249597661,music
74.4846095981,155.504651163,0.264095458774,11.6118471931,96.4756217926,22.5219037537,84.700624052,0.102299525956,2.3190233076,80.5382600347,music
36.9201637839,51.3341085271,0.100322230502,13.5151639834,17.7062936331,20.6822394828,45.8064600504,0.0649798630708,2.84638168757,18.7415718722,music
88.0584735884,185.034883721,0.293045973442,10.2306984063,56.0915996144,24.0334018816,53.0910394798,0.114202834789,1.89840667691,47.0556029856,music
53.1857971347,95.7186046512,0.114373069051,11.1803494808,37.6474006002,17.6637061744,40.1030538137,0.0508105721639,2.68274585087,31.6031538629,music
88.672831744,201.976744186,0.313603961132,12.2403408346,47.2100239207,36.4550425775,79.1126823805,0.106117847877,2.32789497067,45.1383759143,music
78.180348648,168.452713178,0.256634888076,12.2529812463,65.9512044072,33.9952546565,79.8978107776,0.108235246171,2.36504474633,70.4406819894,music
51.6451226768,104.099224806,0.0840932673847,11.6308181295,44.8407083716,16.4536845225,32.221343247,0.022553377416,2.61644534537,37.8894378111,music
95.6833543969,166.264341085,0.249829930089,11.1672005951,56.7911497418,15.0775987544,42.2700698599,0.100885925704,3.07195843934,30.4482976096,music
112.274966415,248.675968992,0.414107654217,10.639777762,41.7369374081,22.678763192,49.3249355547,0.0919513729992,1.94782377676,23.1052639318,music
115.719978647,303.896899225,0.404686273147,12.900275942,42.8687334556,29.3868018169,60.805607705,0.0933038973614,1.99265027597,46.1478941299,music
113.809039575,297.058139535,0.340276147029,16.3135521469,11.3392664387,24.8617615543,63.4573325464,0.0763722007633,3.03209465928,13.6970042782,music
69.4472914503,141.172093023,0.223028724675,11.645200039,103.878793102,37.6759181212,89.9649707686,0.153389383947,2.3132064885,136.571936744,music
81.2893963332,151.399224806,0.224199323408,12.1832568628,53.4099977991,10.7215787736,11.6898352196,0.0434598814743,2.34959673369,26.4112962226,music
106.67908527,235.113178295,0.338679022471,12.9258267613,130.68917143,23.0145343462,51.5952755782,0.0821462013357,2.99027814205,119.590069839,music
112.262939906,237.635658915,0.372145595877,11.3793159573,100.607532853,44.4911418624,89.5925607709,0.152084699281,2.76530617965,105.844937899,music
29.7606681897,40.9333333333,0.0799073745939,13.213832942,9.44740295907,6.55111635095,19.5953693839,0.0292693732998,2.10465315979,14.9686382826,music
72.7805789037,146.230232558,0.190453583637,9.65540902075,84.4483662296,19.9226857909,37.8799677166,0.0408158373359,1.81662322229,57.8999189521,music
96.932049696,177.543410853,0.291304271703,11.6875734024,56.4973513442,32.4218153733,65.4980683128,0.0982964795164,3.18804772454,58.2217804637,music
106.898192596,233.248062016,0.385439066036,11.7004445338,40.5698064988,22.148053491,49.8181547506,0.0924628927273,2.24109393807,25.7084638921,music
78.0470381284,151.315503876,0.249777306335,11.1707087735,47.4285703568,20.6818179548,58.9038409003,0.10405076262,2.57082497756,35.0226949466,music
122.226709581,173.993023256,0.279771851547,7.16282499303,145.944693409,7.73471364998,15.4390257859,0.0428524930972,1.46055339649,47.8850973599,music
78.1959585939,150.148062016,0.229909922291,11.1823893777,58.9187009564,8.1507208962,10.6719483104,0.0386922518047,2.1434819613,27.7155108824,music
74.7527040128,128.730232558,0.190789791005,11.5184747225,64.7451987432,7.38074534825,10.8356331821,0.033373604507,2.18756478356,35.2959201593,music
96.6768974186,149.039534884,0.208135757375,10.1340124989,118.932930104,8.64761486202,21.6732783661,0.065929076635,2.37419605996,92.6730220551,music
72.1399019706,156.290697674,0.256095026165,13.8386667377,21.0553912933,16.5706607072,42.189990991,0.093753549557,2.90566371526,13.633690293,music
70.831523754,131.985271318,0.196420762871,11.0984188825,44.1699784892,40.0974732617,86.8140609488,0.105587646253,3.1899227663,33.9547570228,music
67.811118148,144.925581395,0.204594843963,12.3890633948,94.8789549691,17.092591733,40.2768217322,0.0507226580767,2.99987986436,92.0995465624,music
66.3282562381,138.025581395,0.176777972889,12.2790112378,52.9484811047,19.7464689088,56.5179957334,0.0706500587628,2.23104908086,51.1219642625,music
66.1974254909,140.207751938,0.184139972292,10.5110084971,30.8982744431,23.9668533547,71.013877465,0.0998202531701,1.85356518921,27.4777427604,music
56.6691903619,105.464341085,0.170402408462,13.7317661094,25.9419816051,19.1284646641,48.5931763775,0.0823694930183,4.09345215175,40.8161928471,music
74.1462942252,163.382170543,0.296310790188,10.5070811981,80.4110806274,18.4848556511,55.5663343362,0.0852572718665,2.12440391524,78.4410420884,music
114.59598412,270.278294574,0.376027295343,12.9825847481,155.880219321,39.5557116507,65.8948721832,0.090624037989,2.6699326207,124.081769266,music
107.659383173,235.624806202,0.37247197484,9.41978182135,144.450131343,27.4217180057,69.2719637808,0.115947403203,1.78936172996,135.911384091,music
59.5013620948,116.38372093,0.126796916909,11.3263725908,75.9853089065,13.583818821,36.5871907324,0.0479248358277,2.56239456175,59.4112643742,music
73.8254736335,138.260465116,0.214311249431,13.1069147921,71.0598045551,17.7643107668,34.1476784111,0.0775368693567,2.87307561088,55.1997073361,music
61.8791908713,124.856589147,0.172453525546,10.2653298315,81.0805124061,16.8267538753,44.1650574724,0.0759525176358,2.14523026191,62.6339886559,music
115.047525644,245.39379845,0.394931788548,9.48696317664,91.0431561787,35.2725279368,64.665411662,0.132643036853,2.12363785432,80.2495488416,music
111.440362477,225.351162791,0.389041157443,10.0340818012,126.268583659,31.7142857404,69.464317555,0.142605870948,2.00929538378,122.857564105,music
94.5768354083,208.291472868,0.34371881708,9.92983680588,56.2704486291,30.1744322184,69.760478395,0.124245281279,1.82588459851,34.5091326483,music
110.262837239,204.964341085,0.357972539339,8.23584177521,71.2231488337,21.6147547351,63.2342535456,0.110711591135,1.46881328313,40.2025852687,music
69.5842881474,142.875968992,0.222950047845,11.6823010578,38.3316191032,23.4108396442,67.9276185398,0.093226366461,1.93892035132,38.5121046927,music
