@RELATION music_speech
@ATTRIBUTE RMS_MEAN NUMERIC
@ATTRIBUTE PAR_MEAN NUMERIC
@ATTRIBUTE ZCR_MEAN NUMERIC
@ATTRIBUTE MAD_MEAN NUMERIC
@ATTRIBUTE MEAN_AD_MEAN NUMERIC
@ATTRIBUTE RMS_STD NUMERIC
@ATTRIBUTE PAR_STD NUMERIC
@ATTRIBUTE ZCR_STD NUMERIC
@ATTRIBUTE MAD_STD NUMERIC
@ATTRIBUTE MEAN_AD_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.057446775909,3.23454669976,0.191594868414,0.0373081650845,0.044607013084,0.0271128008467,0.397827401655,0.0365966805093,0.0183165366703,0.0218981548187,music
0.0265833349789,2.59032772922,0.0394159145847,0.0164875355802,0.0189772758332,0.0132843033905,0.384977838782,0.0155750135086,0.0111431615439,0.0122725460245,music
0.060007481396,3.27408843958,0.0982351648518,0.0392530574355,0.046780648834,0.0196202357635,0.442526728709,0.020749061808,0.0136070659722,0.0159655014522,music
0.0988692044027,2.28546690311,0.0360620458145,0.0757622888846,0.0828235268054,0.0310665317209,0.442622401862,0.0432117178987,0.0289537969522,0.0276192980878,music
0.0697436887102,2.91083822002,0.0986890662059,0.0479825515156,0.0556660164679,0.0188300531325,0.499438341332,0.0637865052633,0.0156145969199,0.0162982832676,music
0.0503526787327,3.40959239457,0.127819833746,0.0336402242498,0.0398555671305,0.0279952731862,0.731428872206,0.0418274435588,0.0200652124451,0.0227650167421,music
0.124950566212,3.2528114998,0.117168686111,0.0823752114939,0.0987539130729,0.0574420328645,0.561362666837,0.0541009645662,0.0384512728079,0.0456902236843,music
0.025565334866,2.67134024895,0.0733766775027,0.0148897629376,0.0174407212057,0.0075744833975,0.523202442085,0.0474838228325,0.00683486825677,0.00772925893412,music
0.0914949207381,2.88351921531,0.066587859086,0.0626036178234,0.0730318622427,0.0375437454415,0.544916052363,0.0375831912928,0.0268925175741,0.0300626490721,music
0.119757385125,2.69233074575,0.0610569308994,0.0860196845476,0.0976213962423,0.0541236022762,0.39117893929,0.0155376997151,0.0386813141143,0.0441883595807,music
0.130498669773,2.9778415547,0.115188645646,0.0882279506949,0.104043853195,0.0677759552806,0.466792633045,0.0375580688872,0.0489269211904,0.0558671122625,music
0.0821635826713,2.8059431341,0.0412587995484,0.0565134447674,0.0657262427429,0.0284679172304,0.395871606936,0.0197631075974,0.0234961252383,0.0243687286535,music
0.146922533027,3.15252884943,0.106537240371,0.0972005208333,0.116420062707,0.0616950543025,0.608466869291,0.0664437878065,0.0427692074086,0.0493978115606,music
0.0365744812054,2.75549220579,0.0525858737412,0.0239007994186,0.0274803485784,0.0182617765394,0.328939223009,0.0219372030947,0.0147613477693,0.0161549877201,music
0.0444347473838,2.77583784189,0.0618874415574,0.0306299253952,0.0348119714147,0.0161922630185,0.359866355447,0.0319175038288,0.0132343329908,0.0141832013716,music
0.0405167696175,2.5862197857,0.0477293565816,0.0267825104469,0.0308572004642,0.0228174318459,0.398126336083,0.0305068491899,0.0182206173906,0.0203508573594,music
0.0452826908366,2.75237360076,0.0552888222056,0.0296193677326,0.0347836018533,0.0303895508042,0.479331470322,0.0412026764606,0.0222303833658,0.025635833589,music
0.0897993767939,2.9060052886,0.100844908197,0.0593632187954,0.070544385267,0.0431668570157,0.460111322075,0.0589862833192,0.0314149121445,0.0351961716553,music
